B Harmonic Minor, Cycle 2
G  A♯ E  C♯     A♯°
Alternate Voicing:
A♯ F♯ D  B      Bm(maj7)
G  B  E  C♯     C♯ø
C♯ A♯ F♯ D      Daug(maj7)
B  D  G  E      Em7
E  C♯ A♯ F♯     F♯7
D  F♯ B  G      GM7
G  E  C♯ A♯     A♯°
F♯ A♯ D  B      Bm(maj7)
B  G  E  C♯     C♯ø
A♯ C♯ F♯ D      Daug(maj7)
D  B  G  E      Em7
C♯ E  A♯ F♯     F♯7
F♯ D  B  G      GM7
E  G  C♯ A♯     A♯°
-------------------------
