D♯ Harmonic Minor, Cycle 2
C𝄪 G♯ E♯ B      C𝄪°
C𝄪 A♯ F♯ D♯     D♯m(maj7)
E♯ B  G♯ D♯     E♯ø
E♯ C𝄪 A♯ F♯     F♯aug(maj7)
G♯ D♯ B  F♯     G♯m7
G♯ E♯ C𝄪 A♯     A♯7
B  F♯ D♯ A♯     BM7
B  G♯ E♯ C𝄪     C𝄪°
Alternate Voicing:
A♯ F♯ C𝄪 D♯     D♯m(maj7)
E♯ G♯ D♯ B      E♯ø
C𝄪 A♯ E♯ F♯     F♯aug(maj7)
G♯ B  F♯ D♯     G♯m7
E♯ C𝄪 G♯ A♯     A♯7
B  D♯ A♯ F♯     BM7
G♯ E♯ B  C𝄪     C𝄪°
D♯ F♯ C𝄪 A♯     D♯m(maj7)
B  G♯ D♯ E♯     E♯ø
F♯ A♯ E♯ C𝄪     F♯aug(maj7)
D♯ B  F♯ G♯     G♯m7
A♯ C𝄪 G♯ E♯     A♯7
F♯ D♯ A♯ B      BM7
C𝄪 E♯ B  G♯     C𝄪°
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 1 5 3)
D♯ C𝄪 A♯ F♯     D♯m(maj7)
D♯ E♯ B  G♯     E♯ø
F♯ E♯ C𝄪 A♯     F♯aug(maj7)
F♯ G♯ D♯ B      G♯m7
A♯ G♯ E♯ C𝄪     A♯7
A♯ B  F♯ D♯     BM7
C𝄪 B  G♯ E♯     C𝄪°
C𝄪 D♯ A♯ F♯     D♯m(maj7)
E♯ D♯ B  G♯     E♯ø
E♯ F♯ C𝄪 A♯     F♯aug(maj7)
G♯ F♯ D♯ B      G♯m7
G♯ A♯ E♯ C𝄪     A♯7
B  A♯ F♯ D♯     BM7
B  C𝄪 G♯ E♯     C𝄪°
Alternate Voicing:
C𝄪 A♯ F♯ D♯     D♯m(maj7)
B  D♯ G♯ E♯     E♯ø
E♯ C𝄪 A♯ F♯     F♯aug(maj7)
D♯ F♯ B  G♯     G♯m7
G♯ E♯ C𝄪 A♯     A♯7
F♯ A♯ D♯ B      BM7
B  G♯ E♯ C𝄪     C𝄪°
A♯ C𝄪 F♯ D♯     D♯m(maj7)
D♯ B  G♯ E♯     E♯ø
C𝄪 E♯ A♯ F♯     F♯aug(maj7)
F♯ D♯ B  G♯     G♯m7
E♯ G♯ C𝄪 A♯     A♯7
A♯ F♯ D♯ B      BM7
G♯ B  E♯ C𝄪     C𝄪°
-------------------------
