C♯ Harmonic Minor, Cycle 2
C♯ E  B♯ G♯     C♯m(maj7)
A  F♯ C♯ D♯     D♯ø
E  G♯ D♯ B♯     Eaug(maj7)
C♯ A  E  F♯     F♯m7
G♯ B♯ F♯ D♯     G♯7
E  C♯ G♯ A      AM7
B♯ D♯ A  F♯     B♯°
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 1 5 3)
C♯ B♯ G♯ E      C♯m(maj7)
C♯ D♯ A  F♯     D♯ø
E  D♯ B♯ G♯     Eaug(maj7)
E  F♯ C♯ A      F♯m7
G♯ F♯ D♯ B♯     G♯7
G♯ A  E  C♯     AM7
B♯ A  F♯ D♯     B♯°
B♯ C♯ G♯ E      C♯m(maj7)
D♯ C♯ A  F♯     D♯ø
D♯ E  B♯ G♯     Eaug(maj7)
F♯ E  C♯ A      F♯m7
F♯ G♯ D♯ B♯     G♯7
A  G♯ E  C♯     AM7
A  B♯ F♯ D♯     B♯°
Alternate Voicing:
B♯ G♯ E  C♯     C♯m(maj7)
A  C♯ F♯ D♯     D♯ø
D♯ B♯ G♯ E      Eaug(maj7)
C♯ E  A  F♯     F♯m7
F♯ D♯ B♯ G♯     G♯7
E  G♯ C♯ A      AM7
A  F♯ D♯ B♯     B♯°
G♯ B♯ E  C♯     C♯m(maj7)
C♯ A  F♯ D♯     D♯ø
B♯ D♯ G♯ E      Eaug(maj7)
E  C♯ A  F♯     F♯m7
D♯ F♯ B♯ G♯     G♯7
G♯ E  C♯ A      AM7
F♯ A  D♯ B♯     B♯°
-------------------------
