G Harmonic Minor, Cycle 2
E♭ D  B♭ G      E♭M7
E♭ F♯ C  A      F♯°
Alternate Voicing:
F♯ D  B♭ G      Gm(maj7)
E♭ G  C  A      Aø
A  F♯ D  B♭     B♭aug(maj7)
G  B♭ E♭ C      Cm7
C  A  F♯ D      D7
B♭ D  G  E♭     E♭M7
E♭ C  A  F♯     F♯°
D  F♯ B♭ G      Gm(maj7)
G  E♭ C  A      Aø
F♯ A  D  B♭     B♭aug(maj7)
B♭ G  E♭ C      Cm7
A  C  F♯ D      D7
D  B♭ G  E♭     E♭M7
C  E♭ A  F♯     F♯°
-------------------------
