G Harmonic Minor, Cycle 3
D  B♭ G  E♭     E♭M7
D  B♭ G  F♯     Gm(maj7)
D  B♭ A  F♯     B♭aug(maj7)
D  C  A  F♯     D7
E♭ C  A  F♯     F♯°
E♭ C  A  G      Aø
E♭ C  B♭ G      Cm7
E♭ D  B♭ G      E♭M7
F♯ D  B♭ G      Gm(maj7)
F♯ D  B♭ A      B♭aug(maj7)
F♯ D  C  A      D7
F♯ E♭ C  A      F♯°
G  E♭ C  A      Aø
G  E♭ C  B♭     Cm7
G  E♭ D  B♭     E♭M7
-------------------------
