F♯ Harmonic Minor, Cycle 2
F♯ E♯ C♯ A      F♯m(maj7)
F♯ G♯ D  B      G♯ø
A  G♯ E♯ C♯     Aaug(maj7)
A  B  F♯ D      Bm7
C♯ B  G♯ E♯     C♯7
C♯ D  A  F♯     DM7
E♯ D  B  G♯     E♯°
E♯ F♯ C♯ A      F♯m(maj7)
G♯ F♯ D  B      G♯ø
G♯ A  E♯ C♯     Aaug(maj7)
B  A  F♯ D      Bm7
B  C♯ G♯ E♯     C♯7
D  C♯ A  F♯     DM7
D  E♯ B  G♯     E♯°
Alternate Voicing:
E♯ C♯ A  F♯     F♯m(maj7)
D  F♯ B  G♯     G♯ø
G♯ E♯ C♯ A      Aaug(maj7)
F♯ A  D  B      Bm7
B  G♯ E♯ C♯     C♯7
A  C♯ F♯ D      DM7
D  B  G♯ E♯     E♯°
C♯ E♯ A  F♯     F♯m(maj7)
F♯ D  B  G♯     G♯ø
E♯ G♯ C♯ A      Aaug(maj7)
A  F♯ D  B      Bm7
G♯ B  E♯ C♯     C♯7
C♯ A  F♯ D      DM7
B  D  G♯ E♯     E♯°
-------------------------
